,category,post_date,post_title,comment_date,comment_votes,comment_body,comment_stance,comment_argument,llm_stance,llm_argument
6,council tax,01/02/2025 11:02,Ministers could allow council tax to rise by up to 25% to prevent bankruptcies,01/02/2025 12:12,24.0,I used to work for a large council.,disapprove,council tax is wasted,Disapprove,the comment suggests prior professional experience with local government finances implying a potential skepticism or concern regarding a 25 council tax increase as it likely reflects a practical understanding of budgetary constraints and potential negative impacts on service delivery
11,national insurance,30/10/2024 13:25,Employers' national insurance rise is bigger than predicted as chancellor seeks to raise £40bn in taxes | Politics News,30/10/2024 20:45,0.0,Such a stupid idea when the job market is already weak. Labour are a joke.,disapprove,job market is weak,Disapprove,"the commenter believes increasing national insurance will negatively impact the struggling job market suggesting its a counterproductive policy thus disagreeing with the chancellors intention to raise revenue 
"
12,minimum wage,30/01/2025 19:35,"Karl Williams: Apropos of nothing, in the first six months of 2024, we gave out 1,063 health & care visas to workers from Zimbabwe. They brought with them 10,670 dependants. That's 10 dependants for every (likely minimum wage) social care worker.",31/01/2025 07:17,0.0,I know this is a joke right ? Come on someone say this isnt true. All the illegals coming on a daily basis and now this,disapprove,illegal migrants,Disapprove,"the comment expresses disbelief and outrage framing the visa recipients as illegals and highlighting a disproportionate number of dependents suggesting an inflated and negative view of the situation 
"
13,minimum wage,30/10/2024 17:55,"Xiaowei Xu: The rise in employer costs for low earners (10th percentile) is more than double the rise for average earners. Together with the rise in the minimum wage, this means a big increase in costs for businesses hiring low-paid workers (hospitality, retail etc).",30/10/2024 19:08,17.0,"I guess she missed the bit about employment allowance allowing companies to reduce their NI liability to increase from 5,000 to 10,500..",disapprove,other types of allowance for business,Approve,the commenter is highlighting a mitigating factor  the employment allowance  that directly addresses the concern raised in the title by suggesting businesses can offset increased labor costs through reduced national insurance contributions
17,minimum wage,29/10/2021 12:42,"Jeremy Corbyn MP: Bankers will be as delighted with the Chancellor’s gift of a £4bn tax cut as he appeared to be when he failed to deliver for the most vulnerable, skipped over a proper minimum wage and/or a decent pension (the triple-lock) & hastened climate change (cutting air passenger tax)",29/10/2021 14:01,-16.0,Wait....does he know hes not important anymore?,disapprove,Corbyn is not important ,Disapprove,"the comment expresses a dismissive disbelief at corbyns continued influence and relevance suggesting his criticisms are being ignored which directly contradicts the titles assertion of his ongoing engagement and concern 
"
19,minimum wage,19/08/2022 16:09,Labour sets out plan to link minimum wage to cost of living,20/08/2022 08:41,-1.0,I honestly disagree with shit like this because the Cost of Living varies so much across the UK.,disapprove,regional differences,Disapprove,the commenter expresses outright disagreement using strong language shit like this suggesting a fundamental rejection of the labour partys proposed policy due to perceived inaccuracies regarding the cost of livings regional variations
24,income tax,18/09/2023 07:35,Liz Truss mini-budget nearly included flat 20p rate of income tax. Proposal from Jacob Rees-Mogg described as going ‘full Estonia’.,18/09/2023 08:11,-179.0,Liz Truss must have been one of the first politicians in half a century to take office In Westminster with radical plans to unfuck the UK.,approve,radical plan to save uk,Approve,the comment interprets trusss proposed tax policy as fundamentally disruptive and ambitious aligning with the titles suggestion of a radical approach to address the uks economic problems  a sentiment strongly implied by the unfuck the uk phrasing
38,income tax,12/01/2023 11:19,"The Times has also been told that the Treasury is discussing giving people tax breaks to go back to work Discussion is at an early stage, but there's talk around allowances and even exempting over 50s from income tax",12/01/2023 13:07,3.0,"Whats the point in getting people back in the workforce if they wont tax income. That just stops others getting the jobs that will pay tax and raise the tax burden for them as well. No you dont get a promotion as Dotty is coming out of retirement, BTW heres your income tax raise..",disapprove,unfair for other groups of people,Disapprove,"the commenter fundamentally disagrees with the proposed tax breaks viewing them as detrimental to the wider tax base and potentially hindering career progression for younger workers they express concern about increased tax burdens for those already contributing 
"
39,income tax,25/06/2023 05:48,Starmer indicates he will not raise income tax for top earners,25/06/2023 13:53,5.0,"Ill be honest. Between this, them keeping the triple lock, and saying no to PR Im starting to turn against Labour.",disapprove,won’t support Labour party because of its tax policy,Disapprove,"the commenter expresses frustration with labours policy decisions  specifically tax policy the triple lock and the rejection of proportional representation  suggesting a shift away from supporting the party 
"
40,minimum wage,18/03/2024 17:29,P&O Ferries has paid some crew less than half UK minimum wage,18/03/2024 19:32,31.0,Disgusting however completely legal in their ownership structures and uk laws. About to change apparently but I wouldnt hold my breath. Their sales are up so clearly customers dont give a monkeys,disapprove,customers are not bothered,Disapprove,the comment expresses moral disapproval of the situation disgusting but simultaneously defends the legality of the practice suggesting a cynical view of corporate responsibility and consumer apathy 
